Disease_Name,Disease_Url,Disease_Logo_Image_url,Disease_Logo_File_Name
Basalioma affecting the nose images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-nose-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0629__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,02e3a7446c2236ced23295674aa757e4.jpg
Basalioma affecting the trunk images,https://dermnetnz.org/topics/basal-cell-carcinoma-affecting-the-trunk-images/?stage=Live,https://dermnetnz.org/assets/Uploads/0653__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,dec0bfdfe3d27190a5db5940140f6fd5.jpg
Behcet disease images,https://dermnetnz.org/images/behcet-disease-images/?stage=Live,https://dermnetnz.org/assets/collection/Behcet-disease/behcet-disease-00033__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,49069d62d49339d732855442c41ada52.jpg
Besnier prurigo images,https://dermnetnz.org/images/atopic-dermatitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/atopic26-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,250c109fc199ffd17eeb7c30c32cd458.jpg
Bowenoid papulosis images,https://dermnetnz.org/topics/bowenoid-papulosis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/bp2__FocusFillWzE1MCwxMTAsIngiLDIzXQ.jpg,0b9ad49ca4772b3f0b374e2eddac85bb.jpg
Bullous pemphigoid images,https://dermnetnz.org/topics/bullous-pemphigoid-images/?stage=Live,https://dermnetnz.org/assets/Uploads/3362__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,022f923d673fdc8e6c74fc5ab1609105.jpg
COVID-19 images,https://dermnetnz.org/topics/covid-19-images/?stage=Live,https://dermnetnz.org/assets/Uploads/covid-8__FocusFillWzE1MCwxMTAsInkiLDFd.JPG,b30c96b243c2a2e257cbde95ec89a374.JPG
"Candida affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,9776a47e60b70cb625adcb29ffbd2982.jpg
Candida albicans affecting the nail images,https://dermnetnz.org/topics/candida-albicans-affecting-the-nail-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1272__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,4cd7fb939d8dcae14a71f84570684d7e.jpg
Candida intertrigo images,https://dermnetnz.org/topics/candida-intertrigo-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1292__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,97f91e6112426baa6945277dedd0226d.jpg
Candida vulvovaginitis images,https://dermnetnz.org/topics/candida-vulvovaginitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1265-small2__FocusFillWzE1MCwxMTAsInkiLDYzXQ.jpg,d9cf6e95a26017ac252172931d3e4816.jpg
"Candidiasis affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,9776a47e60b70cb625adcb29ffbd2982.jpg
"Candidosis affecting the lips, mouth and face images",https://dermnetnz.org/topics/candida-affecting-the-lips-mouth-and-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1282-big2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,9776a47e60b70cb625adcb29ffbd2982.jpg
Capillaritis images,https://dermnetnz.org/topics/capillaritis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2509__FocusFillWzE1MCwxMTAsIngiLDdd.jpg,bee562800fd4652005998542f6f02089.jpg
Cherry angioma images,https://dermnetnz.org/topics/cherry-angioma-images/?stage=Live,https://dermnetnz.org/assets/Uploads/1317__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,c7bf93ea63b97e15a2eb4a90fce36698.jpg
Chronic plaque psoriasis images,https://dermnetnz.org/topics/chronic-plaque-psoriasis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/dscn5640__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,e03d01a6cfeb16ea018f92e3e5df4101.jpg
Clark nevus images,https://dermnetnz.org/topics/atypical-naevus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/604__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,d162865debe576a2d9c27858d9a8bf84.jpg
Clavus images,https://dermnetnz.org/topics/corn-clavus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/clavus11-s2__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,6d5d40c1b22d96cad942abf532ed3b0c.jpg
Conditions affecting the ear images,https://dermnetnz.org/topics/conditions-affecting-the-ear-images/?stage=Live,https://dermnetnz.org/assets/Uploads/keloid__FocusFillWzE1MCwxMTAsInkiLDBd.jpg,5ce58bb8857be8b7ab0f1cfb736064a5.jpg
Contact allergic dermatitis of the arm and leg images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-arm-and-leg-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2452__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,268d3c038b318300eeb9388021b27156.jpg
Contact allergic dermatitis of the face images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-face-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2443__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,dd708df32b6480736a789f5a623e165e.jpg
Contact allergic dermatitis of the hand images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-hand-images/?stage=Live,https://dermnetnz.org/assets/Uploads/eczalllehma__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,ba041914562a500337b92c814cc6cb34.jpg
Contact allergic dermatitis of the torso images,https://dermnetnz.org/topics/contact-allergic-dermatitis-of-the-torso-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2484__FocusFillWzE1MCwxMTAsInkiLDIwXQ.jpg,aa5cf72a664ea3c6fc8327ea8ebfdb2c.jpg
Contact irritant dermatitis images,https://dermnetnz.org/topics/contact-irritant-dermatitis-images/?stage=Live,https://dermnetnz.org/assets/Uploads/2512__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,0b8ac3b693cca28cad9affd14a50cfcd.jpg
Corn images,https://dermnetnz.org/topics/corn-clavus-images/?stage=Live,https://dermnetnz.org/assets/Uploads/clavus11-s__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,3a32943cd4c6095821b05450b1816d35.jpg
Cutaneous horn images,https://dermnetnz.org/topics/cutaneous-horn-images/?stage=Live,https://dermnetnz.org/assets/Uploads/horn-03-s-1__FocusFillWzE1MCwxMTAsInkiLDFd.jpg,d53b494884b0b9097fbea4c16371db17.jpg
